variant,n_seeds,mean_return,std_return,ci_low,ci_high
clip_0p1,5,30.889444399999995,87.11484472883521,-37.61765536,99.39654415999999
clip_0p2,5,31.025535679999997,104.8270088941795,-45.38298956,117.37330855999998
clip_0p3,5,18.577998200000007,119.72879876665135,-74.55221609999998,110.93064738000001
