algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p2,3,0,-870.7450039000001,689.7063540388797,0.2543511390686035
ppo_clip_0p2,3,10000,-536.7251971,181.89384875494903,4.567816257476807
ppo_clip_0p2,3,20000,-785.0899444,261.4126350115449,9.906682014465332
ppo_clip_0p2,3,30000,-1320.6987293999998,592.786379629654,16.680124282836914
ppo_clip_0p2,3,40000,-1102.6973199000001,344.93312303247967,29.3838210105896
ppo_clip_0p2,3,50000,-157.4909399,49.79252944277649,46.61777210235596
ppo_clip_0p2,3,60000,-131.69261699999998,38.54743211719548,65.43856406211853
ppo_clip_0p2,3,70000,-77.7829347,22.957759501723956,85.49777913093567
ppo_clip_0p2,3,80000,-92.9290008,40.65332570079151,102.11022114753723
ppo_clip_0p2,3,90000,2.3586755000000013,78.81910966555455,117.04447722434998
ppo_clip_0p2,3,100000,-46.842193099999996,20.713882274667473,133.05295515060425
ppo_clip_0p2,3,110000,-78.35376649999999,39.17005577559149,147.7435441017151
ppo_clip_0p2,3,120000,-109.9518098,44.83681896686905,160.57363295555115
ppo_clip_0p2,3,130000,-92.6200873,27.876238188876545,176.23959112167358
ppo_clip_0p2,3,140000,-75.9360537,29.12255727734758,192.4742829799652
ppo_clip_0p2,3,150000,-60.5528098,31.58393549175597,206.5785892009735
ppo_clip_0p2,3,160000,-55.217940299999995,35.78704383421752,224.2271432876587
ppo_clip_0p2,3,170000,-69.4423981,25.651899005969714,240.0860469341278
ppo_clip_0p2,3,180000,-63.839929500000004,61.82277138384181,255.89640498161316
ppo_clip_0p2,3,190000,-79.71519729999999,26.407118249069267,267.9737021923065
ppo_clip_0p2,3,200000,-65.97706980000001,33.455879344989675,283.57891607284546
ppo_clip_0p2,3,200704,-85.0338568,41.48927617877861,289.64575719833374
