algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p2,2,0,-333.5214452,175.00759284829462,0.35152721405029297
ppo_clip_0p2,2,10000,-415.42707570000005,77.77218757445436,4.13191294670105
ppo_clip_0p2,2,20000,-2037.4794312999998,1201.5043938103638,9.165031909942627
ppo_clip_0p2,2,30000,-1550.2548355000001,994.228294639229,15.724613189697266
ppo_clip_0p2,2,40000,-1028.5000897,621.8610480916175,26.451545238494873
ppo_clip_0p2,2,50000,-519.7603701,102.89068040706806,38.655320167541504
ppo_clip_0p2,2,60000,-274.01208660000003,22.731046577490563,58.145228147506714
ppo_clip_0p2,2,70000,-168.2416649,29.48934522869374,77.98693609237671
ppo_clip_0p2,2,80000,-103.4187595,34.310050023816935,97.59655404090881
ppo_clip_0p2,2,90000,-104.6917168,32.68522333720468,118.0469241142273
ppo_clip_0p2,2,100000,-118.50859870000002,53.13706904833614,135.57912611961365
ppo_clip_0p2,2,110000,-22.7976432,79.37276689781842,157.2403540611267
ppo_clip_0p2,2,120000,-52.3466808,95.1645762940006,176.63801407814026
ppo_clip_0p2,2,130000,-3.1001227,129.1846503390399,195.81648111343384
ppo_clip_0p2,2,140000,34.698289900000006,97.40947029870776,213.5188491344452
ppo_clip_0p2,2,150000,15.302160800000005,137.1748203078609,226.4829602241516
ppo_clip_0p2,2,160000,34.4479647,120.75351507233516,238.5669219493866
ppo_clip_0p2,2,170000,-71.1795047,99.03222760620491,252.0082631111145
ppo_clip_0p2,2,180000,-105.1798248,73.70251808953014,264.69518208503723
ppo_clip_0p2,2,190000,-59.0684173,112.3541274145,278.9229209423065
ppo_clip_0p2,2,200000,-62.95987349999999,92.09827796975839,293.561665058136
ppo_clip_0p2,2,200704,-16.873456400000002,94.6819840905089,300.82449197769165
