algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo,3,0,-870.7450039000001,689.7063540388797,0.2084510326385498
ppo,3,10000,-536.7251971,181.89384875494903,3.9656448364257812
ppo,3,20000,-785.0899444,261.4126350115449,8.594913005828857
ppo,3,30000,-1320.6987293999998,592.786379629654,14.693150043487549
ppo,3,40000,-1102.6973199000001,344.93312303247967,26.191354990005493
ppo,3,50000,-157.4909399,49.79252944277649,41.95205497741699
ppo,3,60000,-131.69261699999998,38.54743211719548,56.90128707885742
ppo,3,70000,-77.7829347,22.957759501723956,74.55560898780823
ppo,3,80000,-92.9290008,40.65332570079151,89.38924193382263
ppo,3,90000,2.3586755000000013,78.81910966555455,102.95730805397034
ppo,3,100000,-46.842193099999996,20.713882274667473,117.32210397720337
ppo,3,110000,-78.35376649999999,39.17005577559149,130.96507096290588
ppo,3,120000,-109.9518098,44.83681896686905,142.61779594421387
ppo,3,130000,-92.6200873,27.876238188876545,155.97719383239746
ppo,3,140000,-75.9360537,29.12255727734758,170.26981401443481
ppo,3,150000,-60.5528098,31.58393549175597,182.70799493789673
ppo,3,160000,-55.217940299999995,35.78704383421752,197.9878270626068
ppo,3,170000,-69.4423981,25.651899005969714,211.98091316223145
ppo,3,180000,-63.839929500000004,61.82277138384181,225.8404049873352
ppo,3,190000,-79.71519729999999,26.407118249069267,236.60259795188904
ppo,3,200000,-65.97706980000001,33.455879344989675,250.20983481407166
ppo,3,210000,-109.51123290000001,33.56603906136337,259.88817501068115
ppo,3,220000,-76.44844369999998,60.52114102763011,270.65407609939575
ppo,3,230000,-92.8294202,37.70530672536383,282.31791710853577
ppo,3,240000,-101.4825823,45.754860368628485,294.7890830039978
ppo,3,250000,-109.8718233,41.84807126404637,305.57116985321045
ppo,3,260000,-65.4192575,25.910309192156184,318.60414600372314
ppo,3,270000,-101.89364359999999,39.6754348700802,329.92350792884827
ppo,3,280000,-101.70661270000001,31.757670269791753,341.0683419704437
ppo,3,290000,-98.9359901,35.07296284076211,352.8647971153259
ppo,3,300000,-105.8940632,53.36386548118083,364.97674584388733
ppo,3,300032,-97.95109849999999,24.724938026058016,368.23538994789124
