algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
reinforce,2,0,-472.7227233641735,76.38595690002322,0.028537273406982422
reinforce,2,10000,-561.6686088850271,81.1721683253403,1.599518060684204
reinforce,2,20000,-403.20741049197693,105.60229599346299,3.2821269035339355
reinforce,2,30000,-352.07454884684387,39.30578247184577,4.836549997329712
reinforce,2,40000,-272.33009996805856,59.94182805861675,6.664836168289185
reinforce,2,50000,-178.1166740167327,29.251143322175633,8.29574990272522
reinforce,2,60000,-196.036789250798,46.51481385863616,10.056051015853882
reinforce,2,70000,-88.53704520462503,30.221688794894227,11.933550119400024
reinforce,2,80000,-76.23193923073022,24.489631539141072,13.85880994796753
reinforce,2,90000,-83.19035359898344,18.115732011816135,15.719361066818237
reinforce,2,100000,-91.72158971287254,21.879619981276573,17.69227910041809
reinforce,2,110000,-37.30461819114562,19.00424399747683,19.559417963027954
reinforce,2,120000,-80.2668376257964,23.158179301115833,21.517575979232788
reinforce,2,130000,-214.0546790766121,30.928882900034306,23.228307962417603
reinforce,2,140000,-102.47747013153375,21.548182212849074,25.16467308998108
reinforce,2,150000,-56.00356268038089,21.65669227899034,27.008130073547363
reinforce,2,160000,-50.50338060613922,20.621686018614707,28.989997148513794
reinforce,2,170000,-62.5803364243061,20.04291777591233,30.870668172836304
reinforce,2,180000,-84.18267133039997,23.84639907009304,32.80866003036499
reinforce,2,190000,-138.21563776817874,33.15011031429394,34.7764208316803
reinforce,2,200000,-67.48782367218028,21.755117862580576,36.76557803153992
reinforce,2,210000,-22.669236710362664,55.14029847450018,38.677008867263794
reinforce,2,220000,-25.012211900511158,60.60255267732311,40.60290598869324
reinforce,2,230000,-52.16345348034133,22.55683895123036,42.538931131362915
reinforce,2,240000,-59.54162004733028,20.786448471327656,44.49444007873535
reinforce,2,250000,-55.92784499891561,22.594749667299098,46.387001276016235
reinforce,2,260000,-64.29035152417465,17.144701334279304,48.35271191596985
reinforce,2,270000,-48.56695651148609,21.04726803570396,50.2997031211853
reinforce,2,280000,-62.05588410428406,22.2051095297686,52.2409942150116
reinforce,2,290000,-47.91694203235013,19.55815443496957,54.164270877838135
reinforce,2,300000,79.88023687483326,45.30548710551173,56.15593910217285
