algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo,2,0,-333.5214452,175.00759284829462,0.30412912368774414
ppo,2,10000,-415.42707570000005,77.77218757445436,3.7472221851348877
ppo,2,20000,-2037.4794312999998,1201.5043938103638,8.356082201004028
ppo,2,30000,-1550.2548355000001,994.228294639229,14.57357907295227
ppo,2,40000,-1028.5000897,621.8610480916175,24.33143711090088
ppo,2,50000,-519.7603701,102.89068040706806,34.939701318740845
ppo,2,60000,-274.01208660000003,22.731046577490563,52.37117528915405
ppo,2,70000,-168.2416649,29.48934522869374,70.31460404396057
ppo,2,80000,-103.4187595,34.310050023816935,88.50999712944031
ppo,2,90000,-104.6917168,32.68522333720468,106.35179924964905
ppo,2,100000,-118.50859870000002,53.13706904833614,121.63395142555237
ppo,2,110000,-22.7976432,79.37276689781842,137.33862709999084
ppo,2,120000,-52.3466808,95.1645762940006,151.36888337135315
ppo,2,130000,-3.1001227,129.1846503390399,168.87038016319275
ppo,2,140000,34.698289900000006,97.40947029870776,185.07546424865723
ppo,2,150000,15.302160800000005,137.1748203078609,199.31015610694885
ppo,2,160000,34.4479647,120.75351507233516,211.78152227401733
ppo,2,170000,-71.1795047,99.03222760620491,224.60425424575806
ppo,2,180000,-105.1798248,73.70251808953014,236.01246118545532
ppo,2,190000,-59.0684173,112.3541274145,247.01815223693848
ppo,2,200000,-62.95987349999999,92.09827796975839,258.8198981285095
ppo,2,210000,-30.081674899999996,119.9546891701745,270.58515214920044
ppo,2,220000,-88.8425696,108.8740088842539,281.8996500968933
ppo,2,230000,-47.841459,76.29493939218358,295.43758630752563
ppo,2,240000,-59.9653948,89.20882069431221,306.7343144416809
ppo,2,250000,-153.2089727,38.20917541137221,317.79598331451416
ppo,2,260000,10.3610104,115.93399334911156,330.70059633255005
ppo,2,270000,-14.513172400000002,90.59973781967378,343.8937363624573
ppo,2,280000,9.949252699999997,104.8681547340189,357.3188102245331
ppo,2,290000,1.3321238000000022,105.59790205197442,369.1058392524719
ppo,2,300000,89.606159,93.61102586725968,379.9196162223816
ppo,2,300032,53.70643970000001,120.45098757164976,383.7031743526459
