algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
a2c,2,0,-333.5214452,175.00759284829462,0.2873690128326416
a2c,2,10000,-1293.832903,333.06827996583417,8.089747905731201
a2c,2,20000,-64.39957509999999,110.38280952141847,13.75915789604187
a2c,2,30000,-75.9234809,353.6160633159267,23.544805765151978
a2c,2,40000,53.970189299999994,135.01515377001294,31.30125093460083
a2c,2,50000,40.436863200000005,176.58897671088747,37.75169491767883
a2c,2,60000,-1.3042159000000002,94.70736043034982,42.89521789550781
a2c,2,70000,-70.7933603,24.8737889425084,46.538986921310425
a2c,2,80000,-103.87305190000002,94.36695590404318,51.45364689826965
a2c,2,90000,-49.655449600000004,74.98709995395565,56.271912813186646
a2c,2,100000,103.4702821,119.91432385515316,62.030064821243286
a2c,2,110000,22.941933799999994,148.22524132321288,67.14269995689392
a2c,2,120000,94.1730063,111.3711177486377,73.43540692329407
a2c,2,130000,169.6336391,86.34341401020866,80.23323011398315
a2c,2,140000,193.37977759999998,72.14086942842299,87.94700002670288
a2c,2,150000,25.952496699999994,100.48112247931763,94.27619409561157
a2c,2,160000,-49.079513399999996,27.404757429415902,101.98663806915283
a2c,2,170000,-228.41921989999997,151.00510082551847,114.47368383407593
a2c,2,180000,-138.33262480000002,55.645634921693706,130.01353096961975
a2c,2,190000,86.97127370000001,147.56041408316625,141.66388607025146
a2c,2,200000,-20.1065225,125.24205343376883,156.50949597358704
a2c,2,210000,133.71515349999999,150.66506915383457,163.23929691314697
a2c,2,220000,50.20914679999999,126.46276392684514,167.4272141456604
a2c,2,230000,41.1163854,97.19156941679418,171.15087485313416
a2c,2,240000,-49.7837059,103.42351663452797,186.36402988433838
a2c,2,250000,-132.42426830000002,51.00336031616988,205.15264105796814
a2c,2,260000,-38.29874,61.21855536233709,221.0879249572754
a2c,2,270000,-15.786392799999998,104.04638522901043,234.32918882369995
a2c,2,280000,-39.09524270000001,95.5455068389966,248.94972014427185
a2c,2,290000,73.7481846,111.82075228799691,260.10653591156006
a2c,2,300000,45.1267202,119.31425049508383,267.45586681365967
