algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
reinforce,1,0,-137.33789630275894,83.06813025183929,0.03077411651611328
reinforce,1,10000,-738.3775890327416,102.70176502344736,1.5547139644622803
reinforce,1,20000,-1339.2531481161009,1052.9388106396216,3.0835399627685547
reinforce,1,30000,-274.52606595917064,61.56564906407881,4.740569829940796
reinforce,1,40000,-268.35285255532597,51.49935403739928,6.406843900680542
reinforce,1,50000,-602.8421637338284,149.77733923554504,8.057752847671509
reinforce,1,60000,-360.06768931625356,62.47864187407072,9.793684959411621
reinforce,1,70000,-397.2614138494094,53.95145746404651,11.480702877044678
reinforce,1,80000,-163.9277764077574,24.575463953722224,13.141562938690186
reinforce,1,90000,-160.7756296735148,30.8086154831721,14.81749677658081
reinforce,1,100000,-187.11328511819514,29.811605795527257,16.509417057037354
reinforce,1,110000,-175.9223032397415,60.41469262120398,18.382542848587036
reinforce,1,120000,-25.24131502735475,19.848905725386942,20.314159870147705
reinforce,1,130000,-155.8541739810874,41.42352712339211,22.13002300262451
reinforce,1,140000,-203.73950372731343,49.08779511665312,23.93367600440979
reinforce,1,150000,-61.39296905421313,22.05271375910754,25.867042779922485
reinforce,1,160000,-60.86845553934732,17.42107342790891,27.726923942565918
reinforce,1,170000,-60.099764278612746,19.034344415056843,29.651293992996216
reinforce,1,180000,-143.61686772258818,31.80864617588919,31.438987016677856
reinforce,1,190000,-149.23119131561617,55.920878165394704,33.284390926361084
reinforce,1,200000,-46.783986169906434,21.105507668264714,35.21577501296997
reinforce,1,210000,-83.2060208224162,17.94698014971754,37.17997193336487
reinforce,1,220000,-61.58625568904159,18.818620520991345,39.14257001876831
reinforce,1,230000,-31.533814167066925,18.761302500974693,41.01191186904907
reinforce,1,240000,-64.05441572430804,19.35970404034858,42.963398933410645
reinforce,1,250000,-58.047750901614016,22.675690274695246,45.02890396118164
reinforce,1,260000,-50.83179928340248,37.81649225722378,46.91998887062073
reinforce,1,270000,-38.94369736202516,47.772462261122726,48.81219410896301
reinforce,1,280000,-21.2350245784694,21.488025648843152,50.74072504043579
reinforce,1,290000,-4.836087785631179,20.52859619666966,52.651917695999146
reinforce,1,300000,132.91418051870724,69.39613578812214,54.55036807060242
