algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
a2c,0,0,-309.67171339999993,107.51949403467539,0.29598569869995117
a2c,0,10000,-495.78240040000003,405.5644876514461,10.97293472290039
a2c,0,20000,-240.22537719999997,257.7162856679572,20.15630793571472
a2c,0,30000,-133.7785852,200.29511891122144,27.268780946731567
a2c,0,40000,-96.0880928,54.92384943151589,40.70412087440491
a2c,0,50000,64.81967180000001,73.66342887567421,50.384706020355225
a2c,0,60000,58.3244371,100.48598933055219,56.47419476509094
a2c,0,70000,-69.6825677,42.460482308806256,60.358736991882324
a2c,0,80000,-117.4875935,91.20856321682233,63.925081968307495
a2c,0,90000,-89.3734307,63.81549419351822,67.57233881950378
a2c,0,100000,-74.05153929999999,181.08812142496973,79.0902009010315
a2c,0,110000,109.33199239999999,170.00874139418926,88.92212700843811
a2c,0,120000,79.38288860000002,135.12533219657033,97.11644291877747
a2c,0,130000,127.5082783,120.56330632229451,102.39144682884216
a2c,0,140000,-56.7256665,31.791907012812725,106.02572107315063
a2c,0,150000,-48.583205199999995,38.92095833047323,109.47816109657288
a2c,0,160000,-13.0029286,87.57605655130868,113.17193293571472
a2c,0,170000,-170.33467460000003,65.35158783933706,119.36702990531921
a2c,0,180000,-179.18166100000002,48.04794845547754,133.60447096824646
a2c,0,190000,-125.5937179,33.363239830156004,149.9582178592682
a2c,0,200000,-140.9144565,33.535603462184476,166.88097500801086
a2c,0,210000,-120.66694850000002,47.6988281208337,184.06427693367004
a2c,0,220000,-123.38830870000001,35.02704374213357,200.73164796829224
a2c,0,230000,-86.6587279,45.433689026863256,217.14712381362915
a2c,0,240000,-131.7445812,33.99290457865764,235.35109686851501
a2c,0,250000,-90.89267559999999,35.651738938415384,251.23859977722168
a2c,0,260000,-70.2426141,15.79393380609771,268.60649585723877
a2c,0,270000,-27.798418400000003,102.76476112969209,280.4716730117798
a2c,0,280000,103.3052187,137.49068114683644,287.3369770050049
a2c,0,290000,76.8169963,142.060243044868,291.78082394599915
a2c,0,300000,-25.959759700000006,117.03806894186515,298.0813670158386
