algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
reinforce,0,0,-118.54224637580009,67.08782416693822,0.030946016311645508
reinforce,0,10000,-206.11779753685633,180.90769793751556,1.5440969467163086
reinforce,0,20000,-2914.1448478133925,311.9643346551673,3.347046136856079
reinforce,0,30000,-614.0473205321671,100.77285548553702,4.886896133422852
reinforce,0,40000,-485.5252128541356,149.47563681571137,6.402667045593262
reinforce,0,50000,-520.7638462528682,87.41369847363825,7.98899507522583
reinforce,0,60000,-201.71269583526092,19.968766891683256,9.778983116149902
reinforce,0,70000,-203.83600115203103,29.880677938296802,11.573872089385986
reinforce,0,80000,-110.04653925684588,19.892737131006268,13.406136989593506
reinforce,0,90000,-182.98138518099753,56.319223373078486,15.268557071685791
reinforce,0,100000,-95.60214838309602,19.12533516989007,17.1265709400177
reinforce,0,110000,-87.98568875573872,18.81684885118744,19.10207200050354
reinforce,0,120000,-76.14714137437078,20.328083357093806,20.986459016799927
reinforce,0,130000,-84.3637833852164,20.958024421340145,22.879741191864014
reinforce,0,140000,-77.4117420222764,18.27290188333177,24.77446699142456
reinforce,0,150000,-65.98947754576386,20.390522647370787,26.704063892364502
reinforce,0,160000,-115.97776913920816,19.01983828130846,28.630351066589355
reinforce,0,170000,-117.0042766410593,20.945827955708026,30.597604990005493
reinforce,0,180000,-92.13613924733741,18.040050360713334,32.4928081035614
reinforce,0,190000,-53.442183146705375,19.453167304203735,34.3850679397583
reinforce,0,200000,-82.99782996895652,19.202108127186673,36.279966831207275
reinforce,0,210000,-141.21898142704498,23.5351777341161,38.241122007369995
reinforce,0,220000,-116.46096048989378,18.244234369070956,40.12479519844055
reinforce,0,230000,-70.35920872370859,18.786389722832617,42.04866003990173
reinforce,0,240000,-37.130429069228896,20.437782184982975,43.96111989021301
reinforce,0,250000,101.81415412055574,43.95309046743014,45.917466163635254
reinforce,0,260000,100.88304867695459,24.96375174776465,47.79566788673401
reinforce,0,270000,-66.71064926533457,21.00626124877978,49.65845799446106
reinforce,0,280000,-70.36349225389407,18.950589887152113,51.57164907455444
reinforce,0,290000,-86.65328801256527,17.042442509910764,53.455668210983276
reinforce,0,300000,-93.17868548454902,20.214478496245125,55.453773021698
