algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
reinforce,4,0,-573.9628665152999,253.02033160497695,0.04186105728149414
reinforce,4,10000,-560.2667252288105,284.67192562476254,1.5846209526062012
reinforce,4,20000,-786.5325037990741,607.6357994672377,3.0887112617492676
reinforce,4,30000,-242.83226334095474,93.50739499440634,4.689042091369629
reinforce,4,40000,-378.35928265989963,58.24621274869678,6.498178958892822
reinforce,4,50000,-257.47973933477476,38.61107553963098,8.20247507095337
reinforce,4,60000,-228.16983484921252,44.93954873565228,9.983718156814575
reinforce,4,70000,-196.69304137939497,20.884196003065252,11.62455701828003
reinforce,4,80000,-177.08486099687093,17.35987640952929,13.423018217086792
reinforce,4,90000,-203.84604525051327,34.84025023145398,15.054726123809814
reinforce,4,100000,-107.35368254397095,16.915944524343356,16.9846031665802
reinforce,4,110000,-117.82040632658807,19.01682860924742,18.80519413948059
reinforce,4,120000,-162.92331925018686,24.960428545425835,20.756364107131958
reinforce,4,130000,-82.6571158063405,14.465583202258854,22.62768816947937
reinforce,4,140000,170.2289860263557,50.448857670564976,24.41989493370056
reinforce,4,150000,161.15990215007963,120.30460407746858,26.072848081588745
reinforce,4,160000,-109.00993842878866,91.0180397318979,27.89872097969055
reinforce,4,170000,-110.68859565951657,20.054873203718177,29.522592306137085
reinforce,4,180000,-101.66738248244317,55.65422284712095,31.379024028778076
reinforce,4,190000,-85.43888318842718,17.237590280052466,33.16767716407776
reinforce,4,200000,-83.7393190794792,13.74895616395067,34.9640429019928
reinforce,4,210000,-139.9640781157006,40.38568779049751,36.65905809402466
reinforce,4,220000,-165.9269155696925,48.915033929726825,38.45305609703064
reinforce,4,230000,-122.79176171678543,19.774710330559877,40.3552360534668
reinforce,4,240000,-131.55334780871235,35.567431459774426,42.120362281799316
reinforce,4,250000,-155.23462332582162,47.21193424827199,43.96722197532654
reinforce,4,260000,-54.60743101996862,16.336554630476815,45.841002225875854
reinforce,4,270000,-55.828892530384245,17.14069239280353,47.765357971191406
reinforce,4,280000,-68.7773262438485,18.924179287700635,49.72540998458862
reinforce,4,290000,-68.5500256041021,18.89278023983574,51.6899631023407
reinforce,4,300000,-74.86729691696472,20.127000449574844,53.5548152923584
