algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_lr_1em4,0,0,-309.67171339999993,107.51949403467539,0.3729097843170166
ppo_lr_1em4,0,10000,-398.2188975,102.33965238880708,5.453283786773682
ppo_lr_1em4,0,20000,-1109.1523597,462.55252260454205,10.72690486907959
ppo_lr_1em4,0,30000,-1325.6268453999999,436.9299741054165,16.531251907348633
ppo_lr_1em4,0,40000,-892.2581928,77.29254616783932,25.203364849090576
ppo_lr_1em4,0,50000,-1489.7328597,212.5017863273993,34.128315925598145
ppo_lr_1em4,0,60000,-893.76435,224.9215297645443,44.33380889892578
ppo_lr_1em4,0,70000,-655.7129360000001,143.46518289614156,54.59025478363037
ppo_lr_1em4,0,80000,-580.8515013,36.74866240381921,74.5139479637146
ppo_lr_1em4,0,0,-309.67171339999993,107.51949403467539,0.2817871570587158
ppo_lr_1em4,0,10000,-398.2188975,102.33965238880708,3.652323007583618
ppo_lr_1em4,0,20000,-1109.1523597,462.55252260454205,6.956358194351196
ppo_lr_1em4,0,30000,-1325.6268453999999,436.9299741054165,10.688735008239746
ppo_lr_1em4,0,40000,-892.2581928,77.29254616783932,16.542026042938232
ppo_lr_1em4,0,50000,-1489.7328597,212.5017863273993,22.4082190990448
ppo_lr_1em4,0,60000,-893.76435,224.9215297645443,29.504746913909912
ppo_lr_1em4,0,70000,-655.7129360000001,143.46518289614156,36.038114070892334
ppo_lr_1em4,0,80000,-580.8515013,36.74866240381921,49.448310136795044
ppo_lr_1em4,0,90000,-211.43816969999997,25.488780887672817,65.64455699920654
ppo_lr_1em4,0,100000,-131.08859790000002,20.59096250839657,80.92200112342834
ppo_lr_1em4,0,110000,-57.23894249999999,15.807616835531675,96.21904802322388
ppo_lr_1em4,0,120000,-64.27667149999999,35.06145994431438,110.83866214752197
ppo_lr_1em4,0,130000,-50.465826500000006,27.760907585488056,124.90305209159851
ppo_lr_1em4,0,140000,-81.3014532,93.75215644551018,139.65367007255554
ppo_lr_1em4,0,150000,-73.83382180000001,47.67530428757853,154.12143898010254
ppo_lr_1em4,0,160000,-44.414815600000004,9.768654236661968,169.6761360168457
ppo_lr_1em4,0,170000,-39.436097800000006,30.33363927119364,184.39881706237793
ppo_lr_1em4,0,180000,-72.3086717,17.87437989970389,200.78375220298767
ppo_lr_1em4,0,190000,-77.4475063,18.8425299730416,216.23326420783997
ppo_lr_1em4,0,200000,-55.3558421,23.128337487154383,233.32149410247803
ppo_lr_1em4,0,200704,-58.1447907,27.485660610888555,241.89590406417847
