algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_lr_1em4,2,0,-333.5214452,175.00759284829462,0.3355991840362549
ppo_lr_1em4,2,10000,-799.2156519,387.30571925951057,4.064261198043823
ppo_lr_1em4,2,20000,-928.7768819,445.32545310769723,8.540561199188232
ppo_lr_1em4,2,30000,-2815.6361042,1746.297944754795,17.100903272628784
ppo_lr_1em4,2,40000,-799.2117111000001,354.312312749385,23.716652154922485
ppo_lr_1em4,2,50000,-1258.3939529000002,725.3304340384033,33.9492552280426
ppo_lr_1em4,2,60000,-1863.1227863,1351.771599678956,45.260552406311035
ppo_lr_1em4,2,70000,-1825.1192738000002,1813.7205264018473,58.177449226379395
ppo_lr_1em4,2,80000,-878.0999664999999,716.0038864995727,70.12416934967041
ppo_lr_1em4,2,90000,-466.76396710000006,132.35810798641972,84.57871222496033
ppo_lr_1em4,2,100000,-237.951888,34.1682412476368,106.29355812072754
ppo_lr_1em4,2,110000,-191.7926555,21.54591276186831,127.52847933769226
ppo_lr_1em4,2,120000,-158.0528473,16.883316094753486,149.78702521324158
ppo_lr_1em4,2,130000,-73.6919057,16.290562650545752,168.85525727272034
ppo_lr_1em4,2,140000,-79.6543594,42.74726139068083,188.6198604106903
ppo_lr_1em4,2,150000,-43.22131890000001,24.260681229698708,207.8309440612793
ppo_lr_1em4,2,160000,-50.1072262,72.03849748495325,227.66947317123413
ppo_lr_1em4,2,170000,-44.3767921,64.7302720691284,247.34488916397095
ppo_lr_1em4,2,180000,-39.8074007,119.3814748487222,263.134565114975
ppo_lr_1em4,2,190000,-59.52399159999999,72.8567178239312,279.92661142349243
ppo_lr_1em4,2,200000,-59.0585508,116.34947839677442,293.9744303226471
ppo_lr_1em4,2,200704,-110.2184523,84.05201892166298,298.95973229408264
