algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_lr_3em4,0,0,-309.67171339999993,107.51949403467539,0.3107028007507324
ppo_lr_3em4,0,10000,-813.8402359,48.24774926839427,6.287499904632568
ppo_lr_3em4,0,20000,-1311.2796718000002,140.30031852598037,11.066826820373535
ppo_lr_3em4,0,30000,-1380.9102281,129.96373165380268,17.624627828598022
ppo_lr_3em4,0,40000,-401.76177210000003,69.78744731542004,26.267393827438354
ppo_lr_3em4,0,50000,-357.2855113,59.49062979655267,38.864386796951294
ppo_lr_3em4,0,60000,-143.9892004,51.13183915166334,56.36581873893738
ppo_lr_3em4,0,70000,11.692043199999997,62.97127277518338,73.39619469642639
ppo_lr_3em4,0,80000,-1.5761861999999998,52.20171647955512,91.2855076789856
ppo_lr_3em4,0,90000,-4.062825199999999,26.281150678758834,108.7880220413208
ppo_lr_3em4,0,100000,15.576740600000003,86.4925762818881,123.03946375846863
ppo_lr_3em4,0,110000,30.703162499999998,108.12289519545887,132.73815870285034
ppo_lr_3em4,0,120000,-22.365580799999996,104.20314024997897,142.05342173576355
ppo_lr_3em4,0,130000,-64.7817363,19.977573600833768,153.8222188949585
ppo_lr_3em4,0,140000,-64.26009639999998,48.62007291175609,169.44740772247314
ppo_lr_3em4,0,150000,3.487995800000006,104.5411919093089,180.76358079910278
ppo_lr_3em4,0,160000,14.8752301,137.77740939826782,189.64029788970947
ppo_lr_3em4,0,170000,-94.0492599,49.966165337426396,199.08280873298645
ppo_lr_3em4,0,180000,-30.0511164,79.64643673774957,214.22777771949768
ppo_lr_3em4,0,190000,-9.158279400000001,99.60907718631967,228.73194861412048
ppo_lr_3em4,0,200000,-79.13320730000001,78.22313966675128,238.95872282981873
ppo_lr_3em4,0,200704,-19.9868889,138.1985683209896,244.1063277721405
