variant,train_step,mean_return,std_return
clip_0p1,0,-601.7567915400001,288.43431228015885
clip_0p1,10000,-452.00971463999997,363.9547836172488
clip_0p1,20000,-903.0483666399999,457.2705725392094
clip_0p1,30000,-1105.0720350799998,300.5512539102229
clip_0p1,40000,-926.13470424,500.31339555173105
clip_0p1,50000,-913.7940811799999,449.01384634589925
clip_0p1,60000,-926.1625650399999,696.2281264793306
clip_0p1,70000,-474.45366735999994,335.9813079590109
clip_0p1,80000,-238.81568194000002,154.03283401706673
clip_0p1,90000,-154.07740828000001,75.68267968112161
clip_0p1,100000,-138.70758,40.65626421755696
clip_0p1,110000,-87.6888984,23.582192725799555
clip_0p1,120000,-58.584970420000005,56.66504797362507
clip_0p1,130000,-60.42987634,42.312810699330036
clip_0p1,140000,-57.5779224,26.52516209401359
clip_0p1,150000,-55.226609440000004,24.862839595067722
clip_0p1,160000,-35.8436373,46.13076954159365
clip_0p1,170000,-43.00089828,32.61304125598422
clip_0p1,180000,-32.76713842,49.77242753580493
clip_0p1,190000,2.886193320000001,90.28594737109503
clip_0p1,200000,12.0679761,102.82941052112648
clip_0p1,200704,30.889444399999995,87.11484472883522
clip_0p2,0,-601.7567915400001,288.43431228015885
clip_0p2,10000,-528.17833272,175.81467063545517
clip_0p2,20000,-1078.6967874,627.0333318696692
clip_0p2,30000,-1141.3470317,401.940770651863
clip_0p2,40000,-1151.80994134,859.3844797154931
clip_0p2,50000,-690.3413373,789.0045222555832
clip_0p2,60000,-297.72912212,184.92244565920512
clip_0p2,70000,-193.24290914000002,251.96840661673215
clip_0p2,80000,-73.95739003999999,66.79239279575091
clip_0p2,90000,-51.69805678,48.06804804324798
clip_0p2,100000,-61.556030260000014,50.16268803800469
clip_0p2,110000,5.976377100000004,76.12868127580278
clip_0p2,120000,30.01633187999999,131.5645744010753
clip_0p2,130000,30.067619200000014,118.96583709266807
clip_0p2,140000,19.138436540000004,87.99941747173581
clip_0p2,150000,5.119181500000002,40.85175797778327
clip_0p2,160000,51.281818539999996,80.62518538664017
clip_0p2,170000,-6.746312279999998,98.45099958857097
clip_0p2,180000,37.08342037999999,144.13043626820544
clip_0p2,190000,31.280470700000002,113.73718699497371
clip_0p2,200000,-3.4781430000000055,90.98440720953772
clip_0p2,200704,31.025535679999997,104.82700889417949
clip_0p3,0,-601.7567915400001,288.43431228015885
clip_0p3,10000,-736.5151848999998,417.65251506316264
clip_0p3,20000,-797.87998052,382.63828530625
clip_0p3,30000,-1462.4997630199998,1416.9700718619752
clip_0p3,40000,-338.6168592,136.6976693255466
clip_0p3,50000,-639.8160445999999,1055.2526694707844
clip_0p3,60000,-226.21911681999995,272.57540758516825
clip_0p3,70000,-111.33598090000001,168.632235889227
clip_0p3,80000,-107.60188304,79.19914746508925
clip_0p3,90000,-29.365009039999997,120.0012452256478
clip_0p3,100000,-21.094083100000002,119.6366211799893
clip_0p3,110000,-46.67279636,53.84032240646335
clip_0p3,120000,-7.2128075200000055,104.64568335511618
clip_0p3,130000,43.25166556,111.61269073155266
clip_0p3,140000,27.956757879999987,140.82337034156077
clip_0p3,150000,79.47272131999999,134.88163689253292
clip_0p3,160000,63.7077539,152.36937204703977
clip_0p3,170000,59.16075142,149.48615658107187
clip_0p3,180000,48.72674758000001,123.97398278228667
clip_0p3,190000,59.48120652,134.4519486406542
clip_0p3,200000,28.008930479999997,110.80009944065631
clip_0p3,200704,18.577998200000007,119.72879876665134
