algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p1,4,0,-573.1793485000001,94.08447819261956,0.08957791328430176
ppo_clip_0p1,4,10000,-89.5542581,44.12340682591139,3.248324155807495
ppo_clip_0p1,4,20000,-735.7806681,253.95507206951442,6.7414162158966064
ppo_clip_0p1,4,30000,-774.4593981999999,304.84748893303725,11.080631971359253
ppo_clip_0p1,4,40000,-523.4085966999999,208.85419031082657,19.12773609161377
ppo_clip_0p1,4,50000,-1334.2162617999998,796.2338771589211,29.376646041870117
ppo_clip_0p1,4,60000,-531.4137713,118.59523268581606,44.47822713851929
ppo_clip_0p1,4,70000,-306.16641360000006,74.28257937299334,58.92218208312988
ppo_clip_0p1,4,80000,-131.5386734,24.298757172031298,76.25203704833984
ppo_clip_0p1,4,90000,-139.9225303,30.386315582869294,92.5389039516449
ppo_clip_0p1,4,100000,-142.1444826,24.854170256406924,109.85583710670471
ppo_clip_0p1,4,110000,-97.54371439999998,13.14850626051514,130.68238401412964
ppo_clip_0p1,4,120000,-102.4098594,39.339773960789806,152.89786219596863
ppo_clip_0p1,4,130000,-95.0466578,31.314419708723065,171.65706586837769
ppo_clip_0p1,4,140000,-75.34609040000001,23.93379902246644,192.38301420211792
ppo_clip_0p1,4,150000,-92.5065373,18.58891015876653,212.67275595664978
ppo_clip_0p1,4,160000,-97.09322399999999,39.02160878623275,234.87804198265076
ppo_clip_0p1,4,170000,-78.9002231,40.72329013339509,252.8765480518341
ppo_clip_0p1,4,180000,-93.71044429999999,55.11366495068275,271.5772840976715
ppo_clip_0p1,4,190000,-73.97364239999999,15.924601127731256,293.33445715904236
ppo_clip_0p1,4,200000,-69.2014888,26.325852968767766,311.8261091709137
ppo_clip_0p1,4,200704,-42.738915,15.103577266158286,320.2591359615326
