algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p1,3,0,-870.7450039000001,689.7063540388797,0.23394393920898438
ppo_clip_0p1,3,10000,-190.9162409,128.03123647057956,3.9805080890655518
ppo_clip_0p1,3,20000,-191.67915929999998,31.093802706004663,14.568675994873047
ppo_clip_0p1,3,30000,-1257.3045381,885.405226753278,21.117269039154053
ppo_clip_0p1,3,40000,-563.3717534,321.8650717595244,29.321206092834473
ppo_clip_0p1,3,50000,-1423.4843079,580.7996734824994,42.691720962524414
ppo_clip_0p1,3,60000,-2034.0500008,1085.2650149091116,55.428719997406006
ppo_clip_0p1,3,70000,-583.7452817999999,188.47479644282,69.66146111488342
ppo_clip_0p1,3,80000,-369.4764228,84.69921010783692,81.24731802940369
ppo_clip_0p1,3,90000,-277.9789835,48.19017474157984,96.29131984710693
ppo_clip_0p1,3,100000,-179.5415621,32.804518279184016,112.75692510604858
ppo_clip_0p1,3,110000,-75.3376262,18.304506902160753,127.98053002357483
ppo_clip_0p1,3,120000,-53.316844100000004,39.29476771798315,145.27408123016357
ppo_clip_0p1,3,130000,-54.37987119999999,11.92352118722067,162.7781310081482
ppo_clip_0p1,3,140000,-73.7002978,18.25040539554009,178.4649941921234
ppo_clip_0p1,3,150000,-61.5191493,14.582201507685635,196.63426399230957
ppo_clip_0p1,3,160000,-67.6422452,32.32079065061169,215.1445279121399
ppo_clip_0p1,3,170000,-77.8692863,30.384473068528354,230.83936190605164
ppo_clip_0p1,3,180000,-71.6376634,24.343068500280403,247.8965289592743
ppo_clip_0p1,3,190000,-77.0718201,34.33879684016569,264.51795387268066
ppo_clip_0p1,3,200000,-81.2959742,29.130254248383068,280.81946086883545
ppo_clip_0p1,3,200704,-56.46708410000001,19.087065171051606,289.2316110134125
