algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p1,1,0,-921.6664467,617.3417024790323,0.2522091865539551
ppo_clip_0p1,1,10000,-297.19974410000003,84.39936832308412,3.7866580486297607
ppo_clip_0p1,1,20000,-1048.7060104,339.5250589968465,8.13896894454956
ppo_clip_0p1,1,30000,-785.4280795000001,152.5413025502327,12.780287981033325
ppo_clip_0p1,1,40000,-639.8433305000001,248.96087982110996,18.46533203125
ppo_clip_0p1,1,50000,-726.2835242,308.51256905566385,24.42043900489807
ppo_clip_0p1,1,60000,-1136.0579744,684.5396282577711,32.213006019592285
ppo_clip_0p1,1,70000,-1010.8090922000001,591.9011532453429,41.27270698547363
ppo_clip_0p1,1,80000,-439.51620599999995,94.7983890343065,56.30989098548889
ppo_clip_0p1,1,90000,-149.07009720000002,53.729500936353126,70.16237902641296
ppo_clip_0p1,1,100000,-155.4520744,37.47367792953176,88.1172571182251
ppo_clip_0p1,1,110000,-66.61941879999999,98.37202606338043,105.4306640625
ppo_clip_0p1,1,120000,36.8578404,107.8742210708088,119.51639914512634
ppo_clip_0p1,1,130000,1.5284022999999962,104.61395529150604,132.70755100250244
ppo_clip_0p1,1,140000,-18.0474085,77.66020412611329,146.9058449268341
ppo_clip_0p1,1,150000,-47.412373200000005,21.667451682659216,162.02112913131714
ppo_clip_0p1,1,160000,12.927039199999996,77.94213323383983,178.33915209770203
ppo_clip_0p1,1,170000,-23.308451,17.5928754936349,196.51262712478638
ppo_clip_0p1,1,180000,1.9761385999999987,53.80939247752944,213.37421894073486
ppo_clip_0p1,1,190000,138.3052923,92.47520983358326,224.92702198028564
ppo_clip_0p1,1,200000,145.7863914,93.60662049368123,233.41321110725403
ppo_clip_0p1,1,200704,135.8143998,109.5651939671163,236.4927260875702
