index,train_step,mean_return,std_return
0,0,-601.7567915400001,288.43431228015885
1,10000,-709.08065792,464.75266990827146
2,20000,-129.90312946,152.06349823805306
3,30000,-48.00446044,72.77992439337321
4,40000,-10.874142699999998,72.15508132618875
5,50000,55.495600980000006,21.000355989388023
6,60000,20.316544139999998,67.31723874059843
7,70000,-91.67016167999999,85.23567823776348
8,80000,-84.4000433,31.691360897139063
9,90000,-40.52203232,43.482106681719564
10,100000,-9.213391159999997,75.01225606316225
11,110000,13.312428659999998,61.236561178496906
12,120000,16.686388800000003,66.27007803294681
13,130000,17.10471769999999,156.1439518485065
14,140000,47.557481460000005,94.20811449650495
15,150000,-105.26648731999997,347.70058276867013
16,160000,-171.47796392,328.3738613059433
17,170000,-34.49447392,165.5705725380933
18,180000,-7.205745620000013,140.26390912073109
19,190000,-11.002205000000002,96.1003367229705
20,200000,-19.014620200000003,89.22859390076138
21,210000,30.63739208,120.00793135815009
22,220000,47.863746299999995,109.84822366054124
23,230000,-17.95243188,88.6438173478087
24,240000,-2.56338866,101.39055128666911
25,250000,-20.18269156000001,101.59757459166802
26,260000,-13.993267800000003,82.69058661013912
27,270000,-28.792935,44.68407215510507
28,280000,31.131500659999993,99.91326697067558
29,290000,51.02519294,84.31952126593572
30,300000,51.876744759999994,94.04895514299201
