index,train_step,mean_return,std_return
0,0,-283.9242678345614,221.61406373072484
1,10000,-606.961981565988,279.6428323856509
2,20000,-1275.6896481558076,975.311976571383
3,30000,-380.57544284407874,147.51964866911183
4,40000,-386.0980365650356,118.64197158353961
5,50000,-483.45326925764255,273.9860405928087
6,60000,-264.93508528163983,78.39881324946471
7,70000,-230.58326739416339,113.0476651032698
8,80000,-153.47652918291152,63.28829072559185
9,90000,-189.61061311515974,84.70182877622123
10,100000,-139.2751964608392,57.33182925460681
11,110000,-120.43711328510565,61.20209584949418
12,120000,-112.81027954024118,77.39475362485642
13,130000,-126.88640348923468,57.151707517742985
14,140000,-67.16378951846379,140.90200008265268
15,150000,-33.336114125928184,114.61155089014501
16,160000,-86.07822602237219,29.08695673301181
17,170000,-84.94074158395271,27.02154873305329
18,180000,-120.70543807402503,41.18624371653559
19,190000,-121.64107946330796,51.54135552310424
20,200000,-77.21934572271867,21.642340570911976
21,210000,-95.62378905523524,48.84253503376316
22,220000,-101.08375767325496,57.09105864191914
23,230000,-82.50318750162926,45.04299956428788
24,240000,-81.40994039030572,39.89787053466698
25,250000,-37.49692192997601,92.64829914809371
26,260000,-24.460006109854536,70.25364588426662
27,270000,-55.13500145042864,11.724021986761546
28,280000,-46.65650813749998,28.35838528579283
29,290000,-56.608347777439974,32.18155850918971
30,300000,-4.9349307541586,103.7210305917381
