algo,n_seeds,mean_return,std_return,ci_low,ci_high
ppo,5,51.509599300000005,126.98709367147518,-42.82659578,159.73352014
a2c,5,51.876744759999994,94.04895514299199,-14.0707946,129.10238714
reinforce,5,-4.9349307541586,103.7210305917381,-81.10301071316945,80.75109630279806
