algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p3,3,0,-870.7450039000001,689.7063540388797,0.22924280166625977
ppo_clip_0p3,3,10000,-1366.7491698999997,210.93648602512354,4.6115148067474365
ppo_clip_0p3,3,20000,-324.7276356,75.28117481699917,10.385783910751343
ppo_clip_0p3,3,30000,-1779.3516063,380.784726917389,21.53162693977356
ppo_clip_0p3,3,40000,-216.64728829999999,45.07012519212641,34.6188178062439
ppo_clip_0p3,3,50000,-135.0505963,43.820426718630074,52.312822103500366
ppo_clip_0p3,3,60000,-53.65229969999999,18.06055123617524,69.96927285194397
ppo_clip_0p3,3,70000,-129.15972570000002,36.629706449602935,89.1539888381958
ppo_clip_0p3,3,80000,-95.10725420000001,46.35965989376832,105.83159303665161
ppo_clip_0p3,3,90000,-48.9973999,34.27995467316734,122.3879919052124
ppo_clip_0p3,3,100000,-48.1098677,11.304384521340012,140.94946098327637
ppo_clip_0p3,3,110000,-101.6481698,38.125300570521226,157.32820677757263
ppo_clip_0p3,3,120000,-60.8289912,23.144757958459305,171.80052590370178
ppo_clip_0p3,3,130000,-45.459888,32.102667562357276,187.9832170009613
ppo_clip_0p3,3,140000,-88.4410834,28.012239937221658,202.5630509853363
ppo_clip_0p3,3,150000,-58.26579630000001,45.427040819073746,216.6020839214325
ppo_clip_0p3,3,160000,-97.5497239,64.2558412418049,232.61901807785034
ppo_clip_0p3,3,170000,-52.800002600000006,44.02503389411874,251.76248788833618
ppo_clip_0p3,3,180000,-37.89709560000001,36.35573811720111,267.5801019668579
ppo_clip_0p3,3,190000,-45.70413789999999,33.00803990090612,283.3282768726349
ppo_clip_0p3,3,200000,-64.31677870000001,73.88106924285209,295.94291591644287
ppo_clip_0p3,3,200704,-80.9636366,74.22352158408157,300.6036469936371
