algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p3,2,0,-333.5214452,175.00759284829462,0.3153219223022461
ppo_clip_0p3,2,10000,-236.97540749999993,305.9976788258643,5.844383001327515
ppo_clip_0p3,2,20000,-1120.9900835,1076.0503695406978,12.371891975402832
ppo_clip_0p3,2,30000,-205.4495335,81.08959302031218,19.38101601600647
ppo_clip_0p3,2,40000,-222.68753899999996,61.04900413183288,32.6902859210968
ppo_clip_0p3,2,50000,-211.5972146,52.238326286812836,51.98277401924133
ppo_clip_0p3,2,60000,-179.15501409999996,42.86284906170828,67.15254878997803
ppo_clip_0p3,2,70000,-164.0783295,28.94229747804697,86.93932604789734
ppo_clip_0p3,2,80000,-160.50322610000003,18.714118020645515,104.42509603500366
ppo_clip_0p3,2,90000,-115.61387859999999,71.01637017730863,121.40920495986938
ppo_clip_0p3,2,100000,-112.6289641,29.055659447023025,137.19975996017456
ppo_clip_0p3,2,110000,-95.0138566,20.458295548100583,154.1574878692627
ppo_clip_0p3,2,120000,-87.50889040000001,29.346597684547184,168.66614985466003
ppo_clip_0p3,2,130000,-61.231626899999995,27.42525027045048,184.64018416404724
ppo_clip_0p3,2,140000,-107.4282925,37.939842882123656,198.57155513763428
ppo_clip_0p3,2,150000,-51.46753580000001,40.00603857432599,213.95945286750793
ppo_clip_0p3,2,160000,-96.87386649999999,56.816975174056346,229.80155491828918
ppo_clip_0p3,2,170000,-119.6861877,28.139160164608516,240.94220089912415
ppo_clip_0p3,2,180000,-90.39043089999998,73.82038424690762,251.64007186889648
ppo_clip_0p3,2,190000,-95.139758,70.63965568349818,264.1583397388458
ppo_clip_0p3,2,200000,-106.58452029999998,30.00313209457166,275.27103900909424
ppo_clip_0p3,2,200704,-134.26612709999998,56.030646981973426,279.07555103302
