algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p3,0,0,-309.67171339999993,107.51949403467539,0.35265612602233887
ppo_clip_0p3,0,10000,-654.3648959999999,71.21740876940035,4.19581413269043
ppo_clip_0p3,0,20000,-441.60846419999996,157.4055192650311,9.780840158462524
ppo_clip_0p3,0,30000,-677.4505176,170.82938040373196,14.339353084564209
ppo_clip_0p3,0,40000,-516.7635416,184.31833405808672,21.55677103996277
ppo_clip_0p3,0,50000,-2526.1737074999996,1387.5741025105517,33.54617524147034
ppo_clip_0p3,0,60000,-706.9461842999999,44.93840580155314,54.03386902809143
ppo_clip_0p3,0,70000,-312.2716091,88.11929176860545,69.54964232444763
ppo_clip_0p3,0,80000,-207.83265630000005,87.98337477064425,88.2245581150055
ppo_clip_0p3,0,90000,179.5576291,40.64272324369691,102.23549008369446
ppo_clip_0p3,0,100000,187.7234158,96.40463512362643,111.09852004051208
ppo_clip_0p3,0,110000,26.309861899999998,63.91583973127336,125.89029216766357
ppo_clip_0p3,0,120000,174.7618996,110.30776925146849,132.67451000213623
ppo_clip_0p3,0,130000,218.51103990000001,63.13153151351683,138.66613602638245
ppo_clip_0p3,0,140000,228.69976579999997,71.22315439518795,144.48622107505798
ppo_clip_0p3,0,150000,249.91302299999998,25.926886845092916,151.11849522590637
ppo_clip_0p3,0,160000,234.695452,60.60805533038331,157.06702303886414
ppo_clip_0p3,0,170000,256.319036,25.67959477756763,162.59304213523865
ppo_clip_0p3,0,180000,226.54694240000003,29.096361458357215,169.23673105239868
ppo_clip_0p3,0,190000,200.7929036,79.25663779236694,177.57096600532532
ppo_clip_0p3,0,200000,136.5908158,130.86239109988554,187.5654420852661
ppo_clip_0p3,0,200704,135.5325448,123.7126703166255,191.80994510650635
