algo,seed,train_step,eval_mean_return,eval_std_return,wall_time_sec
ppo_clip_0p3,1,0,-921.6664467,617.3417024790323,0.2806739807128906
ppo_clip_0p3,1,10000,-858.9959126,196.44716903108358,4.364196062088013
ppo_clip_0p3,1,20000,-1017.3564117999998,126.85547989821005,10.286700963973999
ppo_clip_0p3,1,30000,-3782.1933017999995,1973.5419263845438,23.13061285018921
ppo_clip_0p3,1,40000,-448.8279622,221.19868558378005,34.39777398109436
ppo_clip_0p3,1,50000,-203.5497922,55.42470025918524,51.10376501083374
ppo_clip_0p3,1,60000,-93.32982740000001,114.4212710058687,68.22520804405212
ppo_clip_0p3,1,70000,153.67462540000002,82.33138026792145,78.06083703041077
ppo_clip_0p3,1,80000,-70.4470703,83.17590300651138,89.31467485427856
ppo_clip_0p3,1,90000,-101.1275563,122.93380468414537,100.18952012062073
ppo_clip_0p3,1,100000,-81.4655936,71.50805181810406,115.06156802177429
ppo_clip_0p3,1,110000,-16.5153432,131.6393923495254,125.3505871295929
ppo_clip_0p3,1,120000,-20.9744861,148.60454772865828,134.91002202033997
ppo_clip_0p3,1,130000,43.098438599999994,133.86645709850131,144.63041496276855
ppo_clip_0p3,1,140000,-0.5928255000000092,152.60641046555162,153.88653302192688
ppo_clip_0p3,1,150000,91.3114101,133.69522595333274,163.22121214866638
ppo_clip_0p3,1,160000,154.3058934,77.09587481773482,171.7841441631317
ppo_clip_0p3,1,170000,134.3272175,112.76818456076181,179.91303181648254
ppo_clip_0p3,1,180000,103.1230737,123.8005991798575,187.55608487129211
ppo_clip_0p3,1,190000,190.6598143,83.75465289067527,194.94944787025452
ppo_clip_0p3,1,200000,44.309552499999995,142.13932507774646,202.3561429977417
ppo_clip_0p3,1,200704,61.58627250000001,131.28501812810111,206.31727600097656
